YEAR,MONTH,PORT_NAME,TOTAL_TEU,TOTAL_ARRIVALS,TOTAL_TIME_IN_PORT_HOURS
2019,1,A,352659,19,912.45
2019,1,B,113768,6,198.17
2019,1,C,799001,43,1856.03
2019,1,D,496681,27,614.22
2019,2,A,402676,21,1130.75
2019,2,B,162062,9,306.08
2019,2,C,897508,48,2151.4
2019,2,D,604668,34,900.93
2019,3,A,410003,22,1225.13
2019,3,B,128555,7,196.08
2019,3,C,895386,47,2468.42
2019,3,D,550752,30,698.13
2019,4,A,366000,19,805.82
2019,4,B,145599,8,195.83
2019,4,C,843369,45,2029.25
2019,4,D,745926,41,929.33
2020,1,B,255017,14,506.82
2020,1,C,896532,47,2108.83
2020,1,D,1171732,64,1653.75
2020,2,B,241581,13,498.38
2020,2,C,950725,50,2609.18
2020,2,D,973145,54,1667.52
2020,3,B,209474,11,365.38
2020,3,C,810230,42,2154.23
2020,3,D,1123950,62,1584.03
2020,4,B,161757,9,296.53
2020,4,C,861665,45,1590.1
2020,4,D,1138631,62,1506.63
